N,policy,bias_naive,bias_plugin
5000,always_a0,0.2405564639608373,-0.045242449907978655
5000,always_a1,0.13854505917187865,-0.04897931317552932
5000,obs_dependent,0.2244365666100324,0.11049142673355188
5000,uniform,0.33078224276431994,-0.02539405730058471
20000,always_a0,0.2408950988191597,-0.017337148787891426
20000,always_a1,0.13938370392801605,-0.04027162567516659
20000,obs_dependent,0.2295029328650823,0.05664577287946434
20000,uniform,0.32694014350579453,-0.022080370433817793
50000,always_a0,0.24522502546267577,-0.01587684399364157
50000,always_a1,0.13642057263957472,-0.023661164280592988
50000,obs_dependent,0.2306503449012903,0.03138737143209328
50000,uniform,0.32656093764529376,-0.018389395676810787
