variant,c,honest_joint_coverage,empirical_Vlow_le_Vtrue,regret,V_low_best
vanilla,0.001,0.0,1.0,0.0,2.0519871700897756
vanilla,0.003,0.0,1.0,0.0,1.9249112164919102
vanilla,0.01,0.0,1.0,0.0,1.6886898657218339
vanilla,0.03,0.6666666666666666,1.0,0.0,1.1698626808846952
vanilla,0.1,1.0,1.0,0.6840399999999995,-1.1244341270080496
vanilla,0.3,1.0,1.0,0.6840399999999995,-10.390076351322646
vanilla,1.0,1.0,1.0,0.6840399999999995,-61.61221344284928
vanilla,3.0,1.0,1.0,0.6840399999999995,-301.6971584568858
vanilla,10.0,1.0,1.0,0.6840399999999995,-1755.6241203349325
projected,0.001,0.0,1.0,0.0,2.0524393966600365
projected,0.003,0.0,1.0,0.0,1.9257370658877093
projected,0.01,0.0,1.0,0.0,1.6925725127570612
projected,0.03,0.0,1.0,0.0,1.3455785470079535
projected,0.1,0.0,1.0,0.22801333333333318,0.5381849605995749
projected,0.3,0.0,1.0,0.6840399999999995,-1.7977264203678989
projected,1.0,0.0,1.0,0.6840399999999995,-11.772441144008326
projected,3.0,0.0,1.0,0.6840399999999995,-51.18077705871644
projected,10.0,0.0,1.0,0.6840399999999995,-265.2951489089146
