kappa,N,policy,V_true,bias_naive_pop,bias_plugin
kappa=1.0,20000,never_treat,-0.380634,0.011383,0.007602
kappa=1.0,20000,all_interventions,-0.128424,0.009039,0.024249
kappa=1.0,20000,guideline,-0.001212,0.003603,-0.100076
kappa=1.0,20000,uniform,-0.275572,0.00677,0.050347
kappa=1.0,60000,never_treat,-0.380634,0.011383,0.094843
kappa=1.0,60000,all_interventions,-0.128424,0.009039,0.048435
kappa=1.0,60000,guideline,-0.001212,0.003603,0.01468
kappa=1.0,60000,uniform,-0.275572,0.00677,0.035634
kappa=0.0,20000,never_treat,-0.380634,0.004762,0.123271
kappa=0.0,20000,all_interventions,-0.128424,-0.002054,0.047161
kappa=0.0,20000,guideline,-0.001212,-0.001278,-0.058768
kappa=0.0,20000,uniform,-0.275572,-0.00132,0.038684
kappa=0.0,60000,never_treat,-0.380634,0.004762,0.075048
kappa=0.0,60000,all_interventions,-0.128424,-0.002054,0.005867
kappa=0.0,60000,guideline,-0.001212,-0.001278,0.009439
kappa=0.0,60000,uniform,-0.275572,-0.00132,-0.030381
